rep_id,bench_number,traffic,primary_street,direction,secondary_street,cor,city,zip,latitude,longitude
1,LA-3840,WB,Venice Blvd,FS,Beethoven St,NWC,Mar Vista,90066,33.9999,-118.4416
1,LA-3863,WB,Venice Blvd,FS,Butler Ave,NWC,Mar Vista,90066,34.0099,-118.4228
1,LA-6203,WB,Venice Blvd,FS,Cattaraugus Ave,NWC,Mid-City,90034,34.0327,-118.3827
1,LA-5691,WB,Venice Blvd,FS,Culver Blvd,NWC,Palms,90034,34.027,-118.3928
1,LC-0025,EB,Venice Blvd,FS,Girard Ave,SEC,Culver City,90232,34.0165,-118.4106
1,LA-3848,WB,Venice Blvd,FS,Grand View Blvd,NWC,Mar Vista,90066,34.0049,-118.4317
1,LA-3255,EB,Venice Blvd,FS,Hauser Blvd,SEC,Mid-City,90019,34.0439,-118.3582
1,LA-2955,WB,Venice Blvd,FS,Hill St,NWC,Downtown Los Angeles,90015,34.035,-118.2649
1,LA-3258,EB,Venice Blvd,FS,La Brea Ave,SEC,Mid-City,90019,34.0458,-118.3451
1,LA-3230,WB,Venice Blvd,FS,Motor Ave,NWC,Palms,90034,34.0205,-118.4043
1,LA-3879,EB,Venice Blvd,NS,Washington Way,SWC,Venice,90291,33.9875,-118.4647
1,LA-3274,WB,Venice Blvd,FS,Western Ave,NWC,Harvard Heights,90019,34.0437,-118.3094
1,LA-1021,WB,Ventura Blvd,FS,De Soto Ave,NWC,Woodland Hills,91364,34.1664,-118.588
1,LA-1022,WB,Ventura Blvd,FS,Del Moreno Dr,NWC,Woodland Hills,91364,34.1696,-118.575
1,LA-0535,WB,Ventura Blvd,FS,Eureka Dr,NWC,Studio City,91604,34.1406,-118.3763
1,LA-6745,EB,Ventura Blvd,FS,Fruitland Dr,SEC,Studio City,91604,34.1385,-118.3656
1,LA-2072,WB,Ventura Blvd,FS,Gloria Ave,NWC,Encino,91436,34.1558,-118.479
1,LA-2085,WB,Ventura Blvd,FS,Libbit Ave,NWC,Encino,91436,34.1569,-118.488
1,LA-1050,WB,Ventura Blvd,FS,Sale Ave,NWC,Woodland Hills,91364,34.1675,-118.619
1,LA-1058,WB,Ventura Blvd,NS,Shirley Ave,NEC,Tarzana,91356,34.1729,-118.557
1,LA-2103,WB,Ventura Blvd,FS,Stern Ave,NWC,Sherman Oaks/Van Nuys,91423,34.1489,-118.435
1,LA-1071,WB,Ventura Blvd,NS,Wilbur Ave,NEC,Tarzana,91356,34.1724,-118.544
1,LA-2125,WB,Ventura Blvd,FS,Zelzah Ave,NWC,Encino,91316,34.1639,-118.522
1,LA-4741,NB,Verdugo Rd,FS,Eagle Rock Blvd N,NEC,Glassell Park,90065,34.1205,-118.2291
1,LA-1489,SB,Vermont Ave,NS,6th St,NWC,Koreatown,90005,34.0639,-118.2918
1,LA-4751,NB,Vermont Ave,NS,Fountain Ave,SEC,East Hollywood,90029,34.0952,-118.2916
1,LA-4762,NB,Vermont Ave,NS,Rosewood Ave,SEC,East Hollywood,90004,34.0787,-118.2916
1,LA-7526,EB,Victory Blvd,NS,Berquist Ave,SWC,West Hills,91307,34.1863,-118.6348
1,LA-1081,EB,Victory Blvd,NS,Etiwanda Ave,SWC,Reseda,91335,34.1867,-118.532
1,LA-4452,EB,Victory Blvd,NS,Louise Ave,SWC,Van Nuys,91406,34.1865,-118.51
1,LA-1091,EB,Victory Blvd,FS,Mason Ave,SEC,Woodland Hills,91371,34.1884,-118.579
1,LA-7557,WB,Victory Blvd,NS,Orion Ave,NEC,Van Nuys,91406,34.1868,-118.4731
1,LA-7560,WB,Victory Blvd,FS,Petit Ave,NWC,Van Nuys,91406,34.1868,-118.4974
1,LA-0570,EB,Victory Blvd,NS,Radford Ave,SWC,North Hollywood,91606,34.1866,-118.3924
1,LA-1101,EB,Victory Blvd,FS,Randi Ave,SEC,Canoga Park,91303,34.1865,-118.609
1,LA-7100,EB,Victory Blvd,NS,Sunnyslope Ave,NEC,Van Nuys,91401,34.1868,-118.4267
1,LA-5602,EB,Victory Blvd,NS,Tujunga Ave,SWC,North Hollywood,91606,34.1866,-118.3795
1,LA-6839,EB,Victory Blvd,NS,Tyrone Ave,SWC,Van Nuys,91401,34.1866,-118.444
1,LA-1122,EB,Victory Blvd,FS,Vanalden Ave,SEC,Reseda,91335,34.1866,-118.548
1,LA-1621,EB,Victory Blvd,FS,Vineland Ave,SEC,North Hollywood,91606,34.1866,-118.3699
1,LA-3289,WB,Washington Blvd,NS,Arlington Ave,NEC,Arlington Heights,90018,34.04,-118.3175
1,LA-3299,WB,Washington Blvd,NS,West Blvd,NEC,Mid-City,90016,34.04,-118.337
1,LA-6246,NB,Western Ave,FS,Beverly Blvd,NEC,Koreatown,90004,34.0767,-118.3091
1,LA-7666,SB,Western Ave,FS,Fountain Ave (101 FWY),SWC,East Hollywood,90029,34.0941,-118.3093
1,LA-2146,NB,Westwood Blvd,NS,Rochester Ave,SEC,Westwood,90024,34.056,-118.442
1,LA-6325,SB,White Oak Ave,FS,Bullock St,SWC,Encino,91316,34.1795,-118.5186
1,LA-4457,SB,White Oak Ave,FS,Burbank Blvd,SWC,Encino,91316,34.1719,-118.518
1,LA-4475,SB,White Oak Ave,FS,Victory Blvd,SWC,Van Nuys,91406,34.1864,-118.518
1,LA-0587,NB,Whitsett Ave,FS,Moorpark St,NEC,Studio City,91604,34.1506,-118.4051
1,LA-3903,WB,Wilshire Blvd,FS,Barrington Ave,NWC,Sawtelle,90049,34.0493,-118.4613
